full_text,cleaning,case_folding,tokenize,filtering/stopword removal,stemming_data
"Ternyata film Netflix Ice Cold Jessica Wongso tidak dapat mengalihkan isu hukum pemerasan mantan Menteri Pertanian oleh Petinggi KPK, masih tetep berlanjut",Ternyata film Netflix Ice Cold Jessica Wongso tidak dapat mengalihkan isu hukum pemerasan mantan Menteri Pertanian oleh Petinggi KPK masih tetep berlanjut,ternyata film netflix ice cold jessica wongso tidak dapat mengalihkan isu hukum pemerasan mantan menteri pertanian oleh petinggi kpk masih tetep berlanjut,"['ternyata', 'film', 'netflix', 'ice', 'cold', 'jessica', 'wongso', 'tidak', 'dapat', 'mengalihkan', 'isu', 'hukum', 'pemerasan', 'mantan', 'menteri', 'pertanian', 'oleh', 'petinggi', 'kpk', 'masih', 'tetep', 'berlanjut']","['film', 'netflix', 'ice', 'cold', 'jessica', 'wongso', 'mengalihkan', 'isu', 'hukum', 'pemerasan', 'mantan', 'menteri', 'pertanian', 'petinggi', 'kpk', 'tetep', 'berlanjut']",film netflix ice cold jessica wongso alih isu hukum peras mantan menteri tani petinggi kpk tetep lanjut
"Secara sadar (berniat dan tidak nerniat) nonton Ice Cold Netflix sampe 3x. Reaksi pas bagian Alaska selalu sama apa ya ini?""""",Secara sadar berniat dan tidak nerniat nonton Ice Cold Netflix sampe x Reaksi pas bagian Alaska selalu sama apa ya ini,secara sadar berniat dan tidak nerniat nonton ice cold netflix sampe x reaksi pas bagian alaska selalu sama apa ya ini,"['secara', 'sadar', 'berniat', 'dan', 'tidak', 'nerniat', 'nonton', 'ice', 'cold', 'netflix', 'sampe', 'x', 'reaksi', 'pas', 'bagian', 'alaska', 'selalu', 'sama', 'apa', 'ya', 'ini']","['sadar', 'berniat', 'nerniat', 'nonton', 'ice', 'cold', 'netflix', 'sampe', 'x', 'reaksi', 'pas', 'alaska', 'ya']",sadar niat nerniat nonton ice cold netflix sampe x reaksi pas alaska ya
"Just watched the Ice Cold"" documentary on Netflix.  20 years in jail for an ALLEGED murder with no evidence? That's not right.""",Just watched the Ice Cold documentary on Netflix   years in jail for an ALLEGED murder with no evidence Thats not right,just watched the ice cold documentary on netflix   years in jail for an alleged murder with no evidence thats not right,"['just', 'watched', 'the', 'ice', 'cold', 'documentary', 'on', 'netflix', 'years', 'in', 'jail', 'for', 'an', 'alleged', 'murder', 'with', 'no', 'evidence', 'thats', 'not', 'right']","['just', 'watched', 'the', 'ice', 'cold', 'documentary', 'on', 'netflix', 'years', 'in', 'jail', 'for', 'an', 'alleged', 'murder', 'with', 'no', 'evidence', 'thats', 'not', 'right']",just watched the ice cold documentary on netflix years in jail for an alleged murder with no evidence thats not right
"Riset netflix mang gokil sih, i mean bkn tentang dokumenternya tp tentang gmna efek after dokumenter ice cold rilis",Riset netflix mang gokil sih i mean bkn tentang dokumenternya tp tentang gmna efek after dokumenter ice cold rilis,riset netflix mang gokil sih i mean bkn tentang dokumenternya tp tentang gmna efek after dokumenter ice cold rilis,"['riset', 'netflix', 'mang', 'gokil', 'sih', 'i', 'mean', 'bkn', 'tentang', 'dokumenternya', 'tp', 'tentang', 'gmna', 'efek', 'after', 'dokumenter', 'ice', 'cold', 'rilis']","['riset', 'netflix', 'mang', 'gokil', 'sih', 'i', 'mean', 'bkn', 'dokumenternya', 'tp', 'gmna', 'efek', 'after', 'dokumenter', 'ice', 'cold', 'rilis']",riset netflix mang gokil sih i mean bkn dokumenter tp gmna efek after dokumenter ice cold rilis
"Merasa Ditipu Netflix, Ayah Mirna Sebut 'Ice Cold' Tidak Sesuai Kenyataan https://t.co/hwpK0IvAld",Merasa Ditipu Netflix Ayah Mirna Sebut Ice Cold Tidak Sesuai Kenyataan httpstcohwpKIvAld,merasa ditipu netflix ayah mirna sebut ice cold tidak sesuai kenyataan httpstcohwpkivald,"['merasa', 'ditipu', 'netflix', 'ayah', 'mirna', 'sebut', 'ice', 'cold', 'tidak', 'sesuai', 'kenyataan', 'httpstcohwpkivald']","['ditipu', 'netflix', 'ayah', 'mirna', 'ice', 'cold', 'sesuai', 'kenyataan', 'httpstcohwpkivald']",tipu netflix ayah mirna ice cold sesuai nyata httpstcohwpkivald
"btw lagi rame kasus 2016 lagi, kalian udah nonton ice cold murder documenter netflix, sob?",btw lagi rame kasus  lagi kalian udah nonton ice cold murder documenter netflix sob,btw lagi rame kasus  lagi kalian udah nonton ice cold murder documenter netflix sob,"['btw', 'lagi', 'rame', 'kasus', 'lagi', 'kalian', 'udah', 'nonton', 'ice', 'cold', 'murder', 'documenter', 'netflix', 'sob']","['btw', 'rame', 'udah', 'nonton', 'ice', 'cold', 'murder', 'documenter', 'netflix', 'sob']",btw rame udah nonton ice cold murder documenter netflix sob
Kayanya ada yg lagi mikir keras gimana cara takedown film dokumenter ice cold di Netflix wkwkwkwk,Kayanya ada yg lagi mikir keras gimana cara takedown film dokumenter ice cold di Netflix wkwkwkwk,kayanya ada yg lagi mikir keras gimana cara takedown film dokumenter ice cold di netflix wkwkwkwk,"['kayanya', 'ada', 'yg', 'lagi', 'mikir', 'keras', 'gimana', 'cara', 'takedown', 'film', 'dokumenter', 'ice', 'cold', 'di', 'netflix', 'wkwkwkwk']","['kayanya', 'yg', 'mikir', 'keras', 'gimana', 'takedown', 'film', 'dokumenter', 'ice', 'cold', 'netflix', 'wkwkwkwk']",kaya yg mikir keras gimana takedown film dokumenter ice cold netflix wkwkwkwk
"@rekso_lpu aku jg belum nonton ice cold karena ga pake netflix😂 tapi dari penjelasan beliau, mirna mati bukan karena sianida. ga ada ciri2 sianida di mayatnya. ada juga cuma sedikit bgt di lambung. sedangkan di hati darah sm urin negatif. pokoknya ga masuk akal bgt ini kasus",reksolpu aku jg belum nonton ice cold karena ga pake netflix tapi dari penjelasan beliau mirna mati bukan karena sianida ga ada ciri sianida di mayatnya ada juga cuma sedikit bgt di lambung sedangkan di hati darah sm urin negatif pokoknya ga masuk akal bgt ini kasus,reksolpu aku jg belum nonton ice cold karena ga pake netflix tapi dari penjelasan beliau mirna mati bukan karena sianida ga ada ciri sianida di mayatnya ada juga cuma sedikit bgt di lambung sedangkan di hati darah sm urin negatif pokoknya ga masuk akal bgt ini kasus,"['reksolpu', 'aku', 'jg', 'belum', 'nonton', 'ice', 'cold', 'karena', 'ga', 'pake', 'netflix', 'tapi', 'dari', 'penjelasan', 'beliau', 'mirna', 'mati', 'bukan', 'karena', 'sianida', 'ga', 'ada', 'ciri', 'sianida', 'di', 'mayatnya', 'ada', 'juga', 'cuma', 'sedikit', 'bgt', 'di', 'lambung', 'sedangkan', 'di', 'hati', 'darah', 'sm', 'urin', 'negatif', 'pokoknya', 'ga', 'masuk', 'akal', 'bgt', 'ini', 'kasus']","['reksolpu', 'jg', 'nonton', 'ice', 'cold', 'ga', 'pake', 'netflix', 'penjelasan', 'beliau', 'mirna', 'mati', 'sianida', 'ga', 'ciri', 'sianida', 'mayatnya', 'bgt', 'lambung', 'hati', 'darah', 'sm', 'urin', 'negatif', 'pokoknya', 'ga', 'masuk', 'akal', 'bgt']",reksolpu jg nonton ice cold ga pake netflix jelas beliau mirna mati sianida ga ciri sianida mayat bgt lambung hati darah sm urin negatif pokok ga masuk akal bgt
kritik terbesar saya adalah kita terlalu gampang bahkan cenderung semena mena untuk memotret kondisi psikologi seseorang sebagai dasar bagi kita untuk menghakimi dia - netflix ice cold,kritik terbesar saya adalah kita terlalu gampang bahkan cenderung semena mena untuk memotret kondisi psikologi seseorang sebagai dasar bagi kita untuk menghakimi dia  netflix ice cold,kritik terbesar saya adalah kita terlalu gampang bahkan cenderung semena mena untuk memotret kondisi psikologi seseorang sebagai dasar bagi kita untuk menghakimi dia  netflix ice cold,"['kritik', 'terbesar', 'saya', 'adalah', 'kita', 'terlalu', 'gampang', 'bahkan', 'cenderung', 'semena', 'mena', 'untuk', 'memotret', 'kondisi', 'psikologi', 'seseorang', 'sebagai', 'dasar', 'bagi', 'kita', 'untuk', 'menghakimi', 'dia', 'netflix', 'ice', 'cold']","['kritik', 'terbesar', 'gampang', 'cenderung', 'semena', 'mena', 'memotret', 'kondisi', 'psikologi', 'dasar', 'menghakimi', 'netflix', 'ice', 'cold']",kritik besar gampang cenderung semena mena potret kondisi psikologi dasar hakim netflix ice cold
"Kasus kematian Wayan Mirna Salihin yang disebut tewas karena keracunan es kopi sianida dirangkum dalam film dokumenter bertajuk Ice Cold: Murder, Coffee, and Jessica Wongso yang sudah tayang di Netflix.  #JessicaWongso #IceCold   https://t.co/ComrgyFqsg",Kasus kematian Wayan Mirna Salihin yang disebut tewas karena keracunan es kopi sianida dirangkum dalam film dokumenter bertajuk Ice Cold Murder Coffee and Jessica Wongso yang sudah tayang di Netflix  JessicaWongso IceCold   httpstcoComrgyFqsg,kasus kematian wayan mirna salihin yang disebut tewas karena keracunan es kopi sianida dirangkum dalam film dokumenter bertajuk ice cold murder coffee and jessica wongso yang sudah tayang di netflix  jessicawongso icecold   httpstcocomrgyfqsg,"['kasus', 'kematian', 'wayan', 'mirna', 'salihin', 'yang', 'disebut', 'tewas', 'karena', 'keracunan', 'es', 'kopi', 'sianida', 'dirangkum', 'dalam', 'film', 'dokumenter', 'bertajuk', 'ice', 'cold', 'murder', 'coffee', 'and', 'jessica', 'wongso', 'yang', 'sudah', 'tayang', 'di', 'netflix', 'jessicawongso', 'icecold', 'httpstcocomrgyfqsg']","['kematian', 'wayan', 'mirna', 'salihin', 'tewas', 'keracunan', 'es', 'kopi', 'sianida', 'dirangkum', 'film', 'dokumenter', 'bertajuk', 'ice', 'cold', 'murder', 'coffee', 'and', 'jessica', 'wongso', 'tayang', 'netflix', 'jessicawongso', 'icecold', 'httpstcocomrgyfqsg']",mati wayan mirna salihin tewas racun es kopi sianida rangkum film dokumenter tajuk ice cold murder coffee and jessica wongso tayang netflix jessicawongso icecold httpstcocomrgyfqsg
